ack,affirm,bye,confirm,deny,hello,inform,negate,null,repeat,reqalts,reqmore,request,restart,thankyou
okay,yes,goodbye,correct,dont,hello,expensive,no,um,repeat,else,more,address,restart,thank
kay,yeah,bye,,not,hi,moderate,,hm,again,alternative,,phone,start over,
fine,yea,,,,hey,cheap,,cough,back,how about,,type,reset,
good,right,,,,,pricy,,unintelligable,,,,post code,,
,,,,,,british,,noise,,,,,,
,,,,,,seafood,,tv_noise,,,,,,
,,,,,,bistro,,breathing,,,,,,
,,,,,,french,,laughing,,,,,,
,,,,,,hindi,,,,,,,,
,,,,,,asian,,,,,,,,
,,,,,,mexican,,,,,,,,
,,,,,,european,,,,,,,,
,,,,,,vietnamese,,,,,,,,
,,,,,,english,,,,,,,,
,,,,,,thai,,,,,,,,
,,,,,,gastropub,,,,,,,,
,,,,,,indian,,,,,,,,
,,,,,,christmas,,,,,,,,
,,,,,,west,,,,,,,,
,,,,,,north,,,,,,,,
,,,,,,south,,,,,,,,
,,,,,,east,,,,,,,,
,,,,,,gastro pub,,,,,,,,
,,,,,,turkish,,,,,,,,
,,,,,,belgian,,,,,,,,
,,,,,,carribean,,,,,,,,
,,,,,,steakhouse,,,,,,,,
